Image type,Feature Class,Feature Name,brain1_label_label_1
diagnostics,Versions,PyRadiomics,v3.0.1.post3+g0c53d1d
diagnostics,Versions,Numpy,1.19.1
diagnostics,Versions,SimpleITK,2.0.0
diagnostics,Versions,PyWavelet,1.1.1
diagnostics,Versions,Python,3.6.7
diagnostics,Configuration,Settings,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': [3.0, 3.0, 3.0], 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 25.0, 'symmetricalGLCM': True, 'correctMask': True}"
diagnostics,Configuration,EnabledImageTypes,"{'Original': {}, 'LoG': {'sigma': [4.0, 5.0]}}"
diagnostics,Image-original,Hash,5c9ce3ca174f0f8324aa4d277e0fef82dc5ac566
diagnostics,Image-original,Dimensionality,3D
diagnostics,Image-original,Spacing,"(0.7812499999999999, 0.7812499999999999, 6.499999999999998)"
diagnostics,Image-original,Size,"(256, 256, 25)"
diagnostics,Image-original,Mean,385.6564081
diagnostics,Image-original,Minimum,0
diagnostics,Image-original,Maximum,3057
diagnostics,Mask-original,Hash,9dc2c3137b31fd872997d92c9a92d5178126d9d3
diagnostics,Mask-original,Spacing,"(0.7812499999999999, 0.7812499999999999, 6.499999999999998)"
diagnostics,Mask-original,Size,"(256, 256, 25)"
diagnostics,Mask-original,BoundingBox,"(162, 84, 11, 47, 70, 7)"
diagnostics,Mask-original,VoxelNum,4137
diagnostics,Mask-original,VolumeNum,2
diagnostics,Mask-original,CenterOfMassIndex,"(186.98549673676578, 106.3562968334542, 14.38917089678511)"
diagnostics,Mask-original,CenterOfMass,"(46.47304432559825, 16.518518098863908, 15.529610829103262)"
diagnostics,Image-interpolated,Spacing,"(3.0, 3.0, 3.0)"
diagnostics,Image-interpolated,Size,"(24, 30, 27)"
diagnostics,Image-interpolated,Mean,567.8044753
diagnostics,Image-interpolated,Minimum,-141
diagnostics,Image-interpolated,Maximum,2333
diagnostics,Mask-interpolated,Spacing,"(3.0, 3.0, 3.0)"
diagnostics,Mask-interpolated,Size,"(24, 30, 27)"
diagnostics,Mask-interpolated,BoundingBox,"(5, 6, 7, 12, 18, 15)"
diagnostics,Mask-interpolated,VoxelNum,641
diagnostics,Mask-interpolated,VolumeNum,2
diagnostics,Mask-interpolated,CenterOfMassIndex,"(11.257410296411857, 11.249609984399376, 14.798751950078003)"
diagnostics,Mask-interpolated,CenterOfMass,"(46.27223088923557, 16.751170046801853, 15.646255850234084)"
diagnostics,Mask-interpolated,Mean,808.3666147
diagnostics,Mask-interpolated,Minimum,511
diagnostics,Mask-interpolated,Maximum,1198
original,firstorder,10Percentile,624
original,firstorder,90Percentile,1032
original,firstorder,Energy,433461065
original,firstorder,Entropy,4.505780127
original,firstorder,InterquartileRange,237
